timestamp	name	type
2019-03-01 20:00:07.707168	Mio Mio Cola	cola
2019-03-01 15:35:33.76355	Fortuna Apfelschorle	saft
2019-03-01 15:07:07.980918	MIO-MIO-MATE	mate
2019-03-01 14:05:17.950929	MIO-MIO-MATE	mate
2019-03-01 14:05:09.092961	MIO-MIO-MATE	mate
2019-03-01 14:05:01.64946	MIO-MIO-MATE	mate
2019-03-01 11:18:26.054746	MIO-MIO-MATE	mate
2019-02-28 17:18:01.912265	Esch-weger	bier
2019-02-28 15:29:41.542475	MIO-MIO-MATE	mate
2019-02-28 15:29:27.448466	Esch-weger	bier
2019-02-28 13:54:12.798648	MIO-MIO-MATE	mate
2019-02-27 18:15:38.972006	Köstritzer	bier
2019-02-27 15:48:14.3636	MIO-MIO-MATE	mate
2019-02-26 23:57:11.871524	Fortuna Apfelschorle	saft
2019-02-26 23:26:23.161703	Esch-weger	bier
2019-02-26 22:36:27.972839	MIO-MIO-MATE	mate
2019-02-26 22:35:59.684207	Krombacher Radler	bier
2019-02-26 21:56:43.387386	Krombacher Radler Naturtrüb	bier
2019-02-26 20:48:11.116958	Krombacher Radler Naturtrüb	bier
2019-02-26 20:38:47.744184	Köstritzer	bier
2019-02-26 20:16:12.521869	Mio Mio Cola	cola
2019-02-26 20:15:31.808081	Mio Mio Cola	cola
2019-02-26 20:11:46.617582	Mio Mio Cola	cola
2019-02-26 20:03:33.861538	Esch-weger	bier
2019-02-26 20:02:17.203374	MIO MIO Ginger	mate
2019-02-26 20:01:15.545677	Fortuna Apfelschorle	saft
2019-02-26 20:01:01.909776	Esch-weger	bier
2019-02-26 19:38:19.318868	Köstritzer	bier
2019-02-26 19:26:23.827918	Mio Mio Cola	cola
2019-02-26 19:26:01.643471	Waldecker Sport	saft
2019-02-26 19:23:58.018217	MIO-MIO-MATE	mate
2019-02-26 19:13:26.921329	MIO-MIO-MATE	mate
2019-02-26 18:24:45.464594	Mio Mio Cola	cola
2019-02-26 18:10:23.530888	Köstritzer	bier
2019-02-26 18:08:27.012233	MIO-MIO-MATE	mate
2019-02-26 18:06:25.985017	Fortuna Apfelschorle	saft
2019-02-26 18:04:41.060972	Esch-weger	bier
2019-02-26 17:56:37.287461	MIO-MIO-MATE	mate
2019-02-26 17:56:20.6602	MIO-MIO-MATE	mate
2019-02-26 17:56:09.586016	MIO-MIO-MATE	mate
2019-02-26 17:55:56.11488	MIO-MIO-MATE	mate
2019-02-26 17:55:05.519421	MIO-MIO-MATE	mate
2019-02-26 17:54:55.038667	MIO-MIO-MATE	mate
2019-02-26 17:54:42.310007	MIO-MIO-MATE	mate
2019-02-26 17:54:31.99939	MIO-MIO-MATE	mate
2019-02-26 17:54:21.07139	MIO-MIO-MATE	mate
2019-02-26 17:54:07.892668	MIO-MIO-MATE	mate
2019-02-26 17:53:52.236267	MIO-MIO-MATE	mate
2019-02-26 17:53:32.287007	MIO-MIO-MATE	mate
2019-02-26 17:46:26.144083	Mio Mio Cola	cola
2019-02-26 17:34:17.807047	Mio Mio Cola	cola
2019-02-26 17:33:13.721327	Mio Mio Cola	cola
2019-02-26 15:44:45.179816	MIO MIO Ginger	mate
2019-02-25 20:24:02.740481	Mio Mio Cola	cola
2019-02-25 19:08:10.934847	Mio Mio Cola	cola
2019-02-25 00:54:10.472341	Mio-Mio Banana	mate
2019-02-24 21:40:17.773747	MIO-MIO-MATE	mate
2019-02-24 20:17:56.855738	Mio-Mio Banana	mate
2019-02-24 19:34:32.007593	MIO-MIO-MATE	mate
2019-02-24 19:34:07.950465	MIO-MIO-MATE	mate
2019-02-23 23:30:18.881758	MIO MIO Ginger	mate
2019-02-23 17:41:37.316603	MIO-MIO-MATE	mate
2019-02-23 17:30:51.280348	Fortuna Apfelschorle	saft
2019-02-23 17:09:36.402428	MIO-MIO-MATE	mate
2019-02-23 15:14:20.853638	Waldecker Sport	saft
2019-02-23 10:36:44.907564	MIO-MIO-MATE	mate
2019-02-23 00:47:00.971102	Mio Mio Cola	cola
2019-02-22 20:44:26.092779	MIO MIO Ginger	mate
